	No Resample	Undersample	Oversample
Stage	0.0	0.0	0.0
Cancer Type	0.2589967828518286	0.2484096726948249	0.29451487069883214
Age	0.32979855885893833	0.288921230716595	0.41219623260334215
Smoking History	0.41120465828923314	0.46266909658858024	0.2932888966978256
