	No Resample	Undersample	Oversample
Age	0.03098415855510831	0.04458404548060725	0.03789497441626679
Sex	0.036064558781710214	0.0443545161633747	0.042955580735192185
Smoking History	0.049995452830855554	0.066822896821218	0.06422343148078316
Smoking Pack Years	0.32166448871127495	0.24980919636853371	0.255685887404579
Stage	0.5612913411210511	0.5944293451662663	0.5992401259631789
